dogface20211028-2
228.52 , 73.84
233.35 , 78.67
227.56 , 81.08
220.32 , 76.73
227.08 , 76.73
276.3 , 74.8
285.47 , 78.18
277.75 , 82.53
272.44 , 81.08
276.78 , 78.67
222.25 , 88.32
227.08 , 90.25
229.97 , 97.49
226.59 , 102.31
221.77 , 102.31
216.46 , 100.38
212.12 , 96.04
216.46 , 91.21
284.99 , 88.8
290.78 , 91.7
294.16 , 96.04
291.26 , 101.35
286.92 , 103.28
279.68 , 101.35
273.89 , 98.45
279.2 , 90.25
209.22 , 145.27
251.21 , 176.15
293.19 , 141.4
222.73 , 179.05
283.54 , 175.19
213.08 , 154.92
215.01 , 167.47
232.38 , 183.39
243 , 180.98
262.31 , 180.5
274.37 , 181.46
289.82 , 165.53
290.78 , 151.54
251.69 , 183.39
218.39 , 176.63
285.47 , 175.67
213.08 , 155.88
215.01 , 167.95
232.87 , 182.91
242.04 , 181.94
262.31 , 182.91
273.41 , 182.91
290.3 , 166.5
291.75 , 152.5
215.98 , 46.81
199.08 , 92.18
206.32 , 66.12
189.92 , 145.75
285.47 , 44.88
307.67 , 95.07
299.47 , 68.05
315.88 , 146.71
252.65 , 38.13
234.32 , 41.02
270.51 , 41.5
251.21 , 187.73
202.95 , 121.13
208.74 , 139.47
214.53 , 167.95
225.15 , 180.5
274.37 , 185.32
291.26 , 158.3
293.68 , 142.37
299.95 , 125.48
253.14 , 108.59
230.94 , 116.79
275.34 , 118.72
253.62 , 147.68
266.65 , 149.13
271.96 , 158.3
266.17 , 168.43
254.58 , 170.84
239.62 , 167.95
234.8 , 160.23
240.11 , 151.06
247.83 , 160.23
259.41 , 159.74
223.22 , 94.11
283.54 , 94.11
